0x01000000	test1
0x02000008	RTO_赤外線ＣＡＬＬ機関室以外
0x160002CA	RTO_オタコンデフォルト
0x16002D39	RTO_甲板開かない水密扉dr501
0x160057C0	RTO_甲板開かない水密扉dr502
0x16008247	RTO_甲板開かない水密扉dr503
0x0100ACCE	RTO_甲板開かない水密扉ＣＡＬＬ_dr501
0x0100AD85	RTO_甲板開かない水密扉ＣＡＬＬ_dr502
0x0100AE3C	RTO_甲板開かない水密扉ＣＡＬＬ_dr503
0x1600AEF3	RTO_甲板水密扉
0x1600D997	RTO_救命艇近く
0x160104B6	RTO_段差近く
0x16012F2B	RTO_段差近く北
0x160159A2	RTO_死体捨てられる場所近く
0x16018478	RTO_甲板二階の敵は主観攻撃
0x1601AF16	RTO_エルード近く
0x1601D994	RTO_エルード近く２
0x16020412	RTO_奈落エルード近く
0x16022EB3	RTO_２Ｆ敵兵注意エルード近く
0x01025987	RTO_懸垂ＣＡＬＬ
0x16025A39	RTO_ロッカーlk000
0x160285A9	RTO_ロッカーlk001
0x1602B119	RTO_ロッカーlk002
0x1602DC89	RTO_ロッカーlk003
0x160307F9	RTO_ロッカーlk004
0x16033369	RTO_ロッカーlk005
0x16035ED9	RTO_開かないロッカーlk006
0x1603896F	RTO_開かないロッカーlk007
0x1603B405	RTO_w01aロッカールームデフォルト
0x1603DEB6	RTO_蒸気パイプ近く
0x1604098C	RTO_足跡
0x160434B4	RTO_w01a右舷開かない水密扉近く
0x01045F99	RTO_前かがみ
0x1604605C	RTO_とれちゃうのデスカー
0x01048B41	RTO_エンジンルームへの階段近く
0x01048C2E	RTO_エンジンルームへの階段近く体験版
0x16048D08	RTO_リフレッシュルーム
0x1604B7DF	RTO_テレビ会話
0x1604E38C	RTO_テレビ凝視
0x01050F4B	RTO_リフレッシュ開かない扉
0x16050FCD	RTO_二階通路くぼみ
0x17053AE3	RTO_二階通路くぼみロッカー
0x160566F4	RTO_影エリア
0x01059169	RTO_２Ｆ開かない扉
0x160591EB	RTO_２Ｆ右舷レベルによって開かない扉
0x0105BC69	RTO_２Ｆ水密扉近くオルガ戦前
0x0105BD63	RTO_２Ｆ水密扉近くオルガ戦後
0x1605BE27	RTO_２Ｆ左舷開かない水密扉近く
0x1605E914	RTO_w01c_監視カメラ
0x010613EB	RTO_監視カメラ
0x010615B7	RTO_監視カメラＣＡＬＬ
0x16061735	RTO_三階ロッカー
0x160642A5	RTO_食堂
0x16066D79	RTO_食堂死体
0x1606987F	RTO_w01d_監視カメラ
0x1606C3BA	RTO_倉庫
0x0106EEA1	RTO_w01dクリアリングＣＡＬＬ
0x0106F04E	RTO_w01aクリアリングＣＡＬＬ
0x1606F1FB	RTO_階段魔人
0x01071CA2	RTO_w01d階段魔人ＣＡＬＬ
0x16071D94	RTO_操舵室
0x1607489E	RTO_操舵室開かない扉
0x010773B8	RTO_操舵室開かない扉ＣＡＬＬ
0x0307743A	RTO_オルガ戦中
0x010779D1	RTO_オルガ戦ヒントＣＡＬＬ１
0x04077B5A	RTO_オルガ戦逃げられない
0x03078173	RTO_オルガ戦立入禁止
0x01078749	RTO_流血状態ＣＡＬＬ
0x010788D4	RTO_ＵＳＰ取得時ＣＡＬＬ
0x01078AAA	RTO_オルガ死体撃ちやがった
0x16078B3D	RTO_マストの上
0x1707B5DA	RTO_赤外線機関室
0x1707E3BF	RTO_赤外線機関室以外
0x04081065	RTO_赤外線ＣＡＬＬ機関室
0x160817DD	RTO_w02a_オタコンデフォルト
0x160842F0	RTO_w02a_天田麗文ビビリ地帯
0x16086DB3	RTO_w02a_ロッカーlk001
0x16089923	RTO_w02a_ロッカーlk002
0x1608C493	RTO_w02a_ロッカーlk003
0x1608F003	RTO_w02a_開かないロッカーlk004
0x16091A99	RTO_w02a_ロッカーlk011
0x16094609	RTO_w02a_ロッカーlk012
0x16097179	RTO_w02a_開かないロッカーlk013
0x16099C0F	RTO_オルガいぢり地帯
0x1609C700	RTO_マスト最上部
0x1609F19C	RTO_w03a_開かない水密扉dr000
0x160A1C1A	RTO_w03a_開かない水密扉dr100
0x160A4698	RTO_w03a_開かない水密扉dr200
0x160A7116	RTO_w03a_開かない水密扉dr300
0x160A9B93	RTO_w03a_開かない水密扉dr301
0x160AC610	RTO_w03a_開かない水密扉dr302
0x160AF08D	RTO_w03b_開かない水密扉dr000
0x160B1B0C	RTO_w03b_開かない水密扉dr001
0x160B458B	RTO_w03b_開かない水密扉dr100
0x070B700A	RTO_船倉イベント
0x050B7DC7	RTO_船倉ロックドア
0x050B867A	RTO_鳴り床
0x050B8F9F	RTO_はしご
0x050B98A3	RTO_はしご鳴り床
0x050BA249	RTO_船倉地下ハッチ
0x060BAB07	RTO_プロジェクタ
0x050BB56D	RTO_船倉地下
0x080BBE39	RTO_電送機
0x080BCD91	RTO_船倉ＴＶ兵
0x070BDC2E	RTO_ポール下
0x070BE9E0	RTO_ポール上
0x030BF7A2	RTO_00b1Rオープニング無線機デモ
0x010BFC1D	RTO_03b1Rカモフ登場後無線機デモ体験版
0x020BFD75	RTO_04a0R操舵室無線機デモ
0x010BFFE3	RTO_06b1Rオルガ戦勝利後無線機デモ
0x020C0134	RTO_03b1Rカモフ登場後無線機デモ製品版
0x030C041F	RTO_06b1Rオルガ戦勝利後無線機デモ１
0x010C09CA	RTO_09b1R船倉無線機デモ１
0x040C0B74	RTO_10b1R船倉無線機デモ２
0x020C1272	RTO_vc050101
0x020C1527	RTO_vc050204
0x010C1760	RTO_vc050301
0x020C18B7	RTO_vc050401
0x020C1B25	RTO_vc050302
0x010C1E10	RTO_vc080101
0x030C1F61	RTO_vc080201
0x010C2370	RTO_vc080301
0x010C251A	RTO_vc080401
0x010C26AA	RTO_vc080402
0x0A0C276E	RTS_ＳＡＶＥデフォルト
0x070C3981	画像判定スタート
0x010C45BA	PHONE_消火
